Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17928525,"The Tyrant's Law (The Dagger and the Coin, #3)",Daniel Abraham,"Abraham, Daniel",,"=""""","=""""",3,4.06,Hachette Book Group ,Kindle Edition,512,2013,2013,2018/02/20,2013/05/13,,,read,"I'm sad to say I was a bit let down in this book of the series. Maybe I over-hyped my memory for the past books or maybe I've just been reading too many good books recently, but I felt it fell far short of what I remembered from the past. The characters are still there, though I didn't feel they were as outstanding on this novel. Plot wise the book felt incomplete; clearly setting up for the next installment. I still intend to finish the 5-book series, though, since I have hopes that the latter two novels will be as good as the first two.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2018/02/book-review-tyrants-law-by-daniel.html",,,1,,,0,,,,,
9436513,The Myst Reader,Rand Miller,"Miller, Rand",Robyn Miller,"=""1401382215""","=""9781401382216""",0,4.31,Hyperion,ebook,100,2004,1995,,2013/08/23,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
25353286,Provenance,Ann Leckie,"Leckie, Ann",,"=""""","=""""",4,3.83,Orbit,Kindle Edition,481,2017,2017,2018/01/15,2017/12/22,,,read,"While perhaps not as impact-full as Ancillary Justice for me, this was still an enjoyable read. The plot moves along quickly, though not always in the direction you expect. The setting borrows heavily from prior books, but still manages to inject new cultures and aspects to the world. While the cast of characters is small, the book feels far more focused than the more over-arching narrative of the Ancillary novels.<br/><br/>For my full review, check out my blog: https://strakul.blogspot.com/2018/01/book-review-provenance-by-ann-leckie.html",,,1,,,0,,,,,
34039808,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.58,Tor Books,Kindle Edition,1220,2017,2017,2017/12/12,2017/11/14,,,read,"This is a worthy addition to The Stormlight Archive series. It has everything you could love about the prior books and so much more. Despite the odd pacing at the start, it quickly picks up and delivers the frenzied pace we have come to expect from Sanderson. I'll eagerly await the continuation of this saga in the years to come.<br/><br/>For a full review, check out my blog: https://strakul.blogspot.com/2017/12/book-review-oathbringer-by-brandon.html",,,1,,,0,,,,,
34704992,Edgedancer (The Stormlight Archive #2.5),Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.28,Tor Books,Kindle Edition,272,2017,2016,2017/11/10,2017/08/31,,,read,"A nice, short novella on one of the cool side characters introduced in Words of Radiance. I wish it were longer, but I'm sure Oathbringer will be satisfying enough in terms of length.<br/><br/>A full review will be up later on my blog: https://strakul.blogspot.com/",,,1,,,0,,,,,
20150777,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.74,Tor Books,Kindle Edition,1088,2014,2014,2017/10/27,2014/03/04,,,read,"Brandon Sanderson has achieved another epic masterpiece with Words of Radiance. The 2nd book of The Stormlight Archive series is thoroughly enjoyable. You do need to have read the prior book to understand what's going on, but it is totally worth it. Words of Radiance continues where it left off with some of the same strong characters, plot, and magical settings. I sincerely hope that Sanderson dedicates more of his time to growing these series. I wouldn't mind a longer wait for the second Mistborn trilogy if we get more Stormlight books!<br/><br/>Read my full review on my blog: http://strakul.blogspot.com/2014/03/book-review-words-of-radiance-by.html",,,2,,,0,,,,,
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",5,4.62,Tor Books,Hardcover,1007,2010,2010,2017/10/07,2010/12/02,,,read,Wow! What an awesome book! I finished it and wanted to immediately re-read it.,,,3,,,1,,,unspecified,,
34017126,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.31,Orbit,Kindle Edition,324,2017,2017,2017/09/15,2017/08/30,,,read,"This is an incredible book and likely among the best I've read this year. I strongly recommend The Broken Earth trilogy as the best that N.K. Jemisin has to offer thus far. Not only does it have an engaging plot, interesting narrative style, amazing setting, and intriguing characters, it also delves into deeper themes that are timeless and relevant for everyone. How do we protect those weaker than us while striving for advancement? How do we deal with our fear of those different from us? How do we respond to those that hate us? What does it mean to be part of a family? What does it mean to be human? This and so much more makes The Broken Earth trilogy a masterpiece of modern science fiction and fantasy.<br/><br/>For my full review, check out my blog: https://strakul.blogspot.com/2017/09/book-review-stone-sky-by-nk-jemisin.html",,,1,,,1,,,unspecified,,
17728793,"River of Stars (Under Heaven, #2)",Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""""","=""""",4,4.12,Berkley,Kindle Edition,658,2013,2013,2017/08/27,2014/07/28,,,read,"Like most of Guy Gavriel Kay's work, this book keeps you thinking deep thoughts. In this case, I wonder at the nature of history and legends and how individuals make ripples that bring lasting change to countless others. It is a beautiful book, tinged with sadness and regret. This book is about the Kitai Empire, modeled after China during its Song Dynasty, with its decadent lifestyle and the troubles that befall it. While the characters are decent, they are overshadowed by the idea of Kitai and end up like pawns in a great game whose actions are drops in the coming waterfall. Regardless, I enjoyed reading of their lives and cheered them on as they faced insurmountable odds.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2017/08/book-review-river-of-stars-by-guy.html",,,1,,,0,,,,,
28650517,Rune of the Apprentice,Jamison Stone,"Stone, Jamison",,"=""1941758916""","=""9781941758915""",3,4.03,Inkshares,Hardcover,400,2016,2016,2017/07/12,2017/06/24,,,read,"While I generally read established authors, I'm not averse to giving new authors a try. I met Jamison Stone at Balticon and was intrigued by the world so I bought his book and promised a review (which I normally do anyways). <br/><br/>The book is far from perfect, but does a decent job at telling an interesting story. The setting, which is usually what I value most, is quite cool and I want to learn more about Terra, Runes, and all the strange things of this world. Plot-wise the book has some quirks and could use some improvements, but nevertheless manages to pick up a good pace as the story progresses. The secondary characters are great and help bring the story to life. Unfortunately, the main character is a bit shallow which detracts from the novel given that there is such a strong focus on him. Despite some of these drawbacks, I still enjoyed the novel.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2017/07/book-review-rune-of-apprentice-by.html",,,1,,,0,,,,,
13821,Lord of Light,Roger Zelazny,"Zelazny, Roger",,"=""0060567236""","=""9780060567231""",5,4.09,Harper Voyager,Paperback,296,2010,1967,2017/06/22,2010/12/21,,,read,"This was a great book; I'm glad I finally got around to reading it. The setting, with it's mix of fantasy, science fiction, mysticism, Hinduism, and Buddhism, is exceptionally clever and well written. The characters and plot are likewise engaging; you really feel like the main character, Sam, is a figure out of legend. I can certainly see why this is an often-cited book among the science fiction community.<br/><br/>For a full review, check out my blog: http://strakul.blogspot.com/2017/06/book-review-lord-of-light-by-roger.html",,,1,,,0,,,,,
30282601,"The Collapsing Empire (The Interdependency, #1)",John Scalzi,"Scalzi, John",,"=""""","=""""",4,4.10,Tor Books,Kindle Edition,336,2017,2017,2017/05/21,2016/05/24,,,read,"This was an enjoyable, light read. The premise is very interesting and the humor and story telling are great. The characters are a bit bland, but engaging in their own right- you'll certainly be cheering for the good guys. Overall, this was pretty good book and I would recommend it for people looking for a quick read and lighthearted sci-fi fun. Bear in mind, that this appears to be the first of a series: the stage is set for subsequent books, which I hope Scalzi writes to fully explore the universe he has created!<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2017/05/book-review-collapsing-empire-by-john.html",,,1,,,0,,,,,
19910690,"Iron Council (New Crobuzon, #3)",China Miéville,"Miéville, China",,"=""""","=""""",4,3.71,Del Rey,Kindle Edition,576,2004,2004,,2012/03/18,,,read,"This was an epic story with all the crazy, amazing, horrific things you can expect from the Bas-Lag universe. While I'm not a fan of Westerns (and there were certain parts that seemed to draw heavily from that genre), I still enjoyed the story. The characters are interesting and grow on you and the world building is incredible. Mieville has a talent for taking the extraordinary and bringing it to the next level.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2017/04/book-review-iron-council-by-china.html",,,1,,,0,,,,,
11072907,"The Dragon's Path (The Dagger and the Coin, #1)",Daniel Abraham,"Abraham, Daniel",,"=""""","=""""",5,3.79,Orbit,Kindle Edition,577,2011,2011,2011/06/26,2011/06/06,,,read,"I wasn't sure what I was expecting. The book started a bit slow, but that could be since I was very busy with my work and the characters in the story were all spread out at first. However, things quickly sped up, connections were made, plots revealed, and WOW this is cool! I read the last 200 (electronic) pages in a flash.<br/>Here's the deal: it's epic fantasy, but the cast is not too large. Also, there are some trope-breaking things there, the most obvious being the banker. Yes, that's right- one of the main characters is a young girl banker who loves her wine. This is one case were I was actually excited to have characters visit government offices to file paperwork. Even though that sounds boring in real life, the author really makes the characters shine.<br/>Clearly the characters are the strongest point in this novel, but setting and plot are not far behind. I am eagerly awaiting the sequel and will be checking out more from this author! Fortunately, my copy included an ARC of Leviathan Wakes :)",,,1,,,0,,,,,
28147302,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.28,Orbit,Kindle Edition,321,2016,2016,2017/01/11,2016/09/05,,,read,"This book was just as good as the first one, which was excellent. We continue the story where we left off and learn a lot more about the world, orogeny, the Seasons, and some of the characters. While the characters are still great, it feels much smaller in scope as we spend practically all the book with either Essun or Nassun. The setting is fantastic and the plot is still pretty good, though it feels a bit slower or more confined than its predecessor. Regardless, The Obelisk Gate is a top notch book and a must-read.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2017/01/book-review-obelisk-gate-by-nk-jemisin.html",,,1,,,0,,,,,
19882713,"The Scar (New Crobuzon, #2)",China Miéville,"Miéville, China",,"=""""","=""""",5,4.17,Del Rey,Kindle Edition,608,2002,2002,2015/04/11,2011/06/27,,,read,"Another great book by China Mieville!<br/>This one is set again in Bas-Lag, the same world as [b:Perdido Street Station|68494|Perdido Street Station (Bas-Lag, #1)|China Miéville|https://d.gr-assets.com/books/1393537963s/68494.jpg|3221410]. However, unlike its predecessor it is not as horrific. I kept hoping to learn more about some characters, like Uther Doul and the Brucolac, but they still remain mysterious (which makes them cool). The story is engaging and quite interesting, too. The one thing I felt was missing was that the mention and describe a really cool ship, the Moonship, and I completely expected it to be an important plot point when it wasn't. I suppose that's similar to my experience with the immer in [b:Embassytown|9265453|Embassytown|China Miéville|https://d.gr-assets.com/books/1320470326s/9265453.jpg|14146240]; I guess the author just includes these little tidbits to draw you into the world.<br/><br/>I would recommend this book, though if you haven't read any China Mieville I would start with [b:Embassytown|9265453|Embassytown|China Miéville|https://d.gr-assets.com/books/1320470326s/9265453.jpg|14146240] or [b:The City & The City|4703581|The City & the City|China Miéville|https://d.gr-assets.com/books/1320475957s/4703581.jpg|4767909], which are my two favorites. While this book is a ""sequel"" to [b:Perdido Street Station|68494|Perdido Street Station (Bas-Lag, #1)|China Miéville|https://d.gr-assets.com/books/1393537963s/68494.jpg|3221410], it does not take place in New Crobuzon and the events in the prior book are mentioned only in passing. Hence, I would not think it a requirement to start with [b:Perdido Street Station|68494|Perdido Street Station (Bas-Lag, #1)|China Miéville|https://d.gr-assets.com/books/1393537963s/68494.jpg|3221410], though it won't hurt and will introduce you to thaumaturgy and many of the various xenians you'll see in Bas-Lag.<br/><br/>I have a longer, more up-to-date review at my blog: http://strakul.blogspot.com/2015/04/book-review-scar-by-china-mieville.html",,"Read in 2011 June, and 2015 April",2,,,0,,,,,
18142735,"Caliban's War (Expanse, #2)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.34,Orbit,Kindle Edition,583,2012,2012,2017/01/02,2012/04/30,,,read,"This was a very enjoyable book and very approachable despite being so long since I read the prior book, Leviathan Wakes. The setting is cool, as it's futuristic space-based but with plenty of realism. Characters and plot are decent as well and keep the story moving at a fast pace. It's a solid book in The Expanse series and sets the stage for future events in the series.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2017/01/book-review-calibans-war-by-james-s.html",,,1,,,0,,,,,
8423493,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",5,4.29,Scholastic Press,Kindle Edition,439,2010,2009,2011/07/31,2011/02/06,,,read,"I did not intend to read this book so fast, but I just couldn't help myself. The pacing and action is absolutely gripping. I think it is even better than the previous book, [b:The Hunger Games|2767052|The Hunger Games (The Hunger Games, #1)|Suzanne Collins|http://photo.goodreads.com/books/1293504845s/2767052.jpg|2792775]. You get to see another Hunger Games, which happens to be a Quarter Quell. The Quell's happen every 25 years and are extra special. If you thought the Capitol was bad in book 1, just wait until you read book 2.<br/><br/>My only complaint is that I can't connect too well with the primary character, Katniss. Firstly, she's a young teenage girl and I am male and older. While some of her actions do not conform to what I expect teenage girls think about (hunting, killing), other times she's just wallowing back and forth between her feelings for Peeta and Gale, which exasperated me and feels stereotypical. I guess she's just a complex character?<br/>The big problem I have with her, though, is that she is a bit dense. I picked up things and details very quickly in the book; sure I'm not in her shoes and perhaps in her situation such details would not be obvious. Still, I felt like screaming at her to figure it out: it was obvious! Needless to say, I saw the ending coming a mile away. Perhaps I just prefer more clever characters, ones that can surprise me with their wit and that can figure out things before the reader can.<br/>",,,1,,,0,,,,,
6115136,Rice Boy,Evan Dahm,"Dahm, Evan",,"=""""","=""9781607021339""",4,4.39,ComiXpress,Paperback,548,2008,2007,2016/10/10,2016/12/13,,,read,,,,1,,,0,,,,,
28862254,"White Sand, Volume 1 (White Sand, #1)",Brandon Sanderson,"Sanderson, Brandon","Rik Hoskin, Julius Gopez","=""1606908855""","=""9781606908853""",4,3.65,Dynamic Forces,Hardcover,160,2016,2016,2016/12/13,2016/12/13,,,read,,,,1,,,0,,,,,
23397921,Sixth of the Dusk,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.24,"Dragonsteel Entertainment, LLC",Kindle Edition,59,2014,2014,2014/11/01,2014/10/29,,,read,"This is a short novella with only a handful of characters and a straightforward plot. Despite this, Sanderson manages to create a sense of mystery to the Aviar, the islands, and the Ones Above that drives the story. As always, Sanderson is a master of magic and he provides some partial, yet fulfilling, answers to how the magic of this world works. The book ends rather open-ended, letting the reader imagine what will happen in the future. Some of the secrets also spark my curiosity (ie, why Aviar and not humans?). I hope that Sanderson revisits the First of the Sun world as it sounds very cool (a distinct Polynesian vibe) and feels like the magic could be more fleshed out.<br/><br/>A full, but still short, review can be found in my blog: http://strakul.blogspot.com/2014/11/book-review-sixth-of-dusk-by-brandon.html",,,1,,,0,,,,,
13515944,"The Blinding Knife (Lightbringer, #2)",Brent Weeks,"Weeks, Brent",,"=""""","=""""",4,4.39,Orbit,Kindle Edition,704,2012,2012,2016/12/01,2012/11/08,,,read,"This was a fun and enjoyable read. I'll certainly continue the series and try to catch up to where it's at currently. The plot, setting, and characters were all pretty good. I'm probably most excited about the setting since Weeks has developed a very interesting magic system based on light and there are plenty of hints at more beyond what we learned in the first two books.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2016/12/book-review-blinding-knife-by-brent.html",,,1,,,0,,,,,
18131,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,"=""0440498058""","=""9780440498056""",0,3.99,Yearling Books,Paperback,211,1973,1962,,2016/11/17,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
22878967,"The Shadow of What Was Lost (The Licanius Trilogy, #1)",James Islington,"Islington, James",,"=""099258020X""","=""9780992580209""",0,4.14,Aslaradis Publishing,Paperback,602,2014,2014,,2016/11/09,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
32060479,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",3,3.62,Houghton Mifflin Harcourt,Kindle Edition,274,2016,1962,2016/11/01,2013/08/29,,,read,"This was an interesting book, but having read it after watching the TV series makes me feel I did not appreciate it as much. While the setting seemed well crafted, the plot and characters suffered somewhat from my comparisons to the series. There are a few odd quirks (notably the emphasis on the I Ching) and a somewhat weak ending, but other than that it's a decent book.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2016/11/book-review-man-in-high-castle-by.html",,,1,,,0,,,,,
25735618,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",,"=""""","=""""",5,4.43,Tor Books,Kindle Edition,608,2016,2010,2016/10/18,2016/09/21,,,read,"I thoroughly enjoyed this book as an excellent conclusion to the series. This feels like a book for scientists or people who enjoy science in general. The concepts introduced really make you think about the nature of the universe. The characters really take second place here; I'm sure people will continue to talk about this book for years to come, but when they do they won't necessarily remember the characters. I think I may prefer the second (The Dark Forest) as the best of the series, though.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2016/10/book-review-deaths-end-by-liu-cixin.html",,,1,,,0,,,,,
13119164,Tau Ceti,Kevin J. Anderson,"Anderson, Kevin J.",Steven Savile,"=""""","=""""",2,3.51,,Kindle Edition,204,,2011,2016/09/19,2012/03/09,,,read,"I'm disappointed at how much the characters dragged down this story. They are weak, static, and barely one-dimensional; such a huge contrast with many of the other books I read and enjoy. The story had some promise, even if the setting was a bit generic. One of the only redeeming features is that it's a short book that can be quickly read to get it over with. <br/><br/>See my blog for my full review: http://strakul.blogspot.com/2016/09/book-review-tau-ceti-by-kevin-j.html",,,1,,,0,,,,,
6219313,"Storm Front (The Dresden Files, #1)",Jim Butcher,"Butcher, Jim",,"=""""","=""""",5,3.99,ROC,Kindle Edition,332,2000,2000,2014/06/08,2010/12/02,,,read,I really enjoyed this quick read and can see why many people enjoy the Dresden Files. The main character is the primary driving force in the novel and I look forward to seeing more of his adventures as I continue the series.<br/><br/>My full review can be found at my blog: http://strakul.blogspot.com/2014/06/book-review-storm-front-by-jim-butcher.html,,,1,,,0,,,,,
19887474,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.28,Orbit,Kindle Edition,496,2015,2015,2016/09/05,2016/08/20,,,read,"It is easy to see why this novel was the 2016 Hugo Award winner. The story is just incredible, with plot, setting, and characters all being creative and engaging. It's the sort of story that leaves you wondering what do you want to be and do with life. And then confronts you with what to do when you realize you can't be what you want, but must instead struggle to survive.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2016/09/book-review-fifth-season-by-nk-jemisin.html",,,1,,,0,,,,,
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.24,Del Rey (Random House),Hardcover,382,2014,2014,,2016/08/20,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
10240738,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",Gary Ruddell,"=""""","=""""",4,4.23,Specta,Kindle Edition,481,2011,1989,2016/08/07,2010/12/18,,,read,"This was an enjoyable read and, though I read it slowly, I thought about it often. The plot is simple, but engaging, the characters unique, and the setting very interesting. I know the subsequent books are very different in style, but given the ending of this book, I'll certainly have to check out them out.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2016/08/book-review-hyperion-by-dan-simmons.html",,,1,,,0,,,,,
12974372,"A Natural History of Dragons (The Memoirs of Lady Trent, #1)",Marie Brennan,"Brennan, Marie",,"=""0765331969""","=""9780765331960""",3,3.80,Tor Books,Hardcover,334,2013,2013,2016/06/15,2014/12/03,,,read,"This was an interesting first book on the life and adventures of Isabella as she sets out to learn about dragons. I found the memoir narrative style engaging, but didn't enjoy much the actual plot. The setting was promising, but not as magical as I expected coming in. I am curious as to how she gets the name ""Lady Trent"", but not so much that I would immediately dig into the rest of the series. I'm a bit disappointed I didn't like this more, but maybe I overhyped it by having heard good things on it before<br/><br/>For a full review, check out my blog: http://strakul.blogspot.com/2016/06/book-review-natural-history-of-dragons.html",,,1,,,0,,,,,
26114263,"Arabella of Mars (Adventures of Arabella Ashby, #1)",David D. Levine,"Levine, David D.",,"=""0765382814""","=""9780765382818""",0,3.62,Tor Books,Hardcover,352,2016,2016,,2016/06/09,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
11695750,"The Children of the Sky (Zones of Thought, #3)",Vernor Vinge,"Vinge, Vernor",,"=""""","=""""",3,3.64,Tor Books,Kindle Edition,446,2011,2011,2016/05/26,2012/12/29,,,read,"Overall, this was a fun book but far less interesting or engaging as A Fire Upon the Deep. It's more a take on what would happen when two separate societies mix, one with high-technology, but no resources and the other the opposite. I got some vibes of Lord of the Flies from this since these are stranded people who eventually diverge in opinions and turn to in-fighting. The characters feel a bit forced and the plot, while interesting, feels so much smaller than its predecessor. <br/><spoiler>There are a few hints as to what's happening beyond the planet, but these aren't followed up. I guess that opens the door to a sequel, but I fear that those hints are probably what most readers will be after if coming straight after A Fire Upon the Deep.</spoiler><br/><br/>For my full review, see my blog: http://strakul.blogspot.com/2016/05/book-review-children-of-sky-by-vernor.html",,,1,,,0,,,,,
26114545,"Too Like the Lightning (Terra Ignota, #1)",Ada Palmer,"Palmer, Ada",,"=""0765378000""","=""9780765378002""",0,3.84,Tor Books,Hardcover,432,2016,2016,,2016/05/12,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
18739426,"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.39,Tor,Kindle Edition,448,2016,2016,2016/04/26,2016/03/31,,,read,"This book was great, much better than some prior Sanderson novels I've read recently (namely, Calamity and Perfect State). Not that the others were bad, just that they didn't seem as well crafted as this one. While Sanderson writes good books, he is at his best when writing long, epic fantasies. The Bands of Mourning excels at presenting intriguing new aspects to the world of Scadrial and at developing already great characters. I look forward to seen how Scadrial continues to develop over time in Sanderson's planned future books.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2016/04/book-review-bands-of-mourning-by.html",,,1,,,0,,,,,
28698036,"Secret History (Mistborn, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.37,"Dragonsteel Entertainment, LLC",Kindle Edition,160,2016,2016,,2016/04/25,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
25402243,"Calamity (The Reckoners, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.19,Delacorte Press,Kindle Edition,418,2016,2016,2016/03/22,2016/03/17,,,read,"This is a great conclusion to the Reckoners series of books by Brandon Sanderson. I thoroughly enjoyed it and read it in a flash. The setting is cool as always. It makes me wonder, which city of the three books would I prefer: Newcago, Babilar, or Ildithia? The plot races on with lots of action going on in every chapter. The only drawback is that I wasn't impressed too much with the characters for this particular book, though it may be that we already know most of them from prior books.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2016/03/book-review-calamity-by-brandon.html",,,1,,,0,,,,,
10697676,"The Crippled God (Malazan Book of the Fallen, #10)",Steven Erikson,"Erikson, Steven",,"=""""","=""""",5,4.48,Tor Books,Kindle Edition,930,2011,2011,2016/03/15,2015/11/29,,,read,"It took me a while given all that was going on in my life, but I finally finished this book and I am so glad! Like the other Malazan books, this starts of slowly but inexorably speeds up to a massive finale that leaves you breathless. As the final book of the series, it does it job very well managing to tie together so many different threads that I am left impressed at the scope and magnitude of the story. The characters are still the same ones we have come to love (and hate) and the prose is still as intricate as the prior books. Overall, I very much enjoyed the concluding novel of this series.<br/><br/>For my full review, check out my blog: http://strakul.blogspot.com/2016/03/book-review-crippled-god-by-steven.html",,,1,,,0,,,,,
25188109,Perfect State,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.06,Dragonsteel Entertainment,Kindle Edition,87,2015,2015,2015/11/25,2015/11/20,,,read,"This is a very interesting and very short read with a couple of surprising twists along the way. It was certainly not what I expected when I started reading, nor was it the same by the time I finished it. The setting is certainly where this shines. It's reminiscent of a major franchise which will become apparent quickly as you read the story. Overall, I encourage fans of Sanderson and science fiction in general to check this novella out. <br/><br/>For a full review, see my blog: http://strakul.blogspot.com/2015/11/novella-review-perfect-state-by-brandon.html",,,1,,,0,,,,,
24966740,Ancillary Mercy (Imperial Radch #3),Ann Leckie,"Leckie, Ann",,"=""""","=""""",3,4.20,Orbit,Kindle Edition,363,2015,2015,2015/11/18,2015/10/06,,,read,"This was another good book in the series, but not as strong or outstanding as the first. The characters are decent and the plot interesting, but there are a few minor, possibly stylistic, choices that lessened my enjoyment. The Presger aliens were very interesting and the implications of the conclusion were intriguing so it was still a worthwhile read. It was a satisfying end to the trilogy and recommended for fans of the prior two books.<br/><br/>Read my full review at my blog: http://strakul.blogspot.com/2015/11/book-review-ancillary-mercy-by-ann.html",,,1,,,0,,,,,
24357485,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.27,Tom Doherty Associates,Kindle Edition,385,2015,2015,2015/10/17,2015/10/06,,,read,"This was another great book by Brandon Sanderson. The Mistborn series is one of his most popular and it's easy to see why. It combines interesting characters, action-packed plots, and an intricate world with amazing magic. While I'm not a fan of Western-type stories and this was not as good as the original trilogy, Shadows of Self was still fun and an enjoyable read. Most interesting for me were the little details thrown at the end that hint at future story developments.<br/><br/>For a full review, check out my blog: http://strakul.blogspot.com/2015/10/book-review-shadows-of-self-by-brandon.html",,,1,,,0,,,,,
24375664,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",5,4.40,Tor Books,Kindle Edition,513,2015,2008,2015/09/06,2015/08/16,,,read,"This was an excellent novel and a must-read for fans of classic science fiction. I was reminded of several of Arthur C. Clarke's novels and even of Sphere by Michael Crichton. The plot was a little slow at the beginning, particularly in comparison with The Three Body Problem. However, this does pick up and by the end it is rushing ahead getting cooler and cooler with each turn of the (digital) page. The characters are also pretty neat and provide a personal touch across the large timespan covered in the story. I eagerly await the translation of the third and final installment of this series.<br/><br/>For a full review, check out my blog: http://strakul.blogspot.cl/2015/09/book-review-dark-forest-by-cixin-liu.html",,,1,,,0,,,,,
77206,"Eight Skilled Gentlemen (The Chronicles of Master Li and Number Ten Ox, #3)",Barry Hughart,"Hughart, Barry",,"=""0385417101""","=""9780385417105""",3,4.03,Broadway Books,Paperback,264,1990,1990,2015/08/12,2015/07/19,,,read,"This was another good book in the series. It has many similarities in style to the prior books in the series, though the Chinese myths it touches on are different. According to the author, one of the reasons why this is the final book in the series (besides some publication problems) is that it started to get repetitive and I can agree with that. Yes, the characters are good and the plot engaging, but the overarching framework is the same as the prior two novels and the pattern is set in stone now. As such, this novel does not feel as unique or fun as the prior two.<br/><br/>For a full review, see my blog: http://strakul.blogspot.cl/2015/08/book-review-eight-skilled-gentlemen-by.html",,,1,,,0,,,,,
